user_id,revenue,group
196ahica6957x1ee85b44                ,3.0547627138720896,A
1914a340d9abx7178500f                ,0.5472302849061385,A
198g1981fa79x6f260aa4                ,4.04233920289159,B
195dbbh4ca9bx7c7cea0d                ,0.7622626119926951,A
17e35e4e9c79x35d250cb                ,0.9868436363242453,A
1985ig7f4692x30856ad5                ,1.1300046690797403,A
193d732c1f0ax69ba52fd                ,1.4395128423539385,A
195hbg36ac93x666b601b                ,2.2843877832712636,B
197b13cb1632x179f340c                ,1.2724615604503144,B
19534he8fe8dx410929ea                ,1.1687347419738552,B
19496e77f938x32b1ef62                ,1.1328303451795247,A
18e5a24b8fd7x1596a253                ,3.246460529434913,B
1926c4a59617x35a3a0e                 ,1.0750606609556073,B
198cbggfdf3bx48b34367                ,3.073002855993935,A
18aiiga2b0e0xddafc                   ,1.310573446266905,B
196bg49002b7x16683cf1                ,0.7834416254728982,B
1947c4g6052dx66bcd934                ,0.8739190681400297,B
17a665456286x2f0b1ee9                ,4.343306995349377,A
198h2982a1dex1d474555                ,1.3395426281729488,B
19677i4df7bcx2b6641b7                ,4.410552933037578,A
198b48gbc6fcxc2c0b23                 ,1.9948067290405505,A
197751i51dcdx74463842                ,1.9943631436018772,A
19712b13c943x3046d01                 ,0.6720115712429802,A
1944h9bcbabbx6ca1b04f                ,3.996980330204636,B
1982g8ge08c9x7246f614                ,0.6890793361764582,A
194c8h1cbbdbx2ab412e3                ,3.6580658992634176,A
1984b7c94addx3738e126                ,12.08182733847857,A
19759616c4fex78b7e58                 ,3.64611150950828,A
198a4g550e72x1b0afaa2                ,1.1008033215027515,A
189c9be891a1x46b4eb39                ,2.8574634727355255,A
182c4d7ada7ax5a15454d                ,2.1435521695706496,A
1986ii7308f1x3364e01c                ,6.14044366095068,B
193c3d73db06x5a07a3fc                ,3.955180298441669,B
193dh68bf471x6387885b                ,1.5422970574409995,A
182ba8gf9ca5x971a6c4                 ,2.7031929872338423,A
19568g45a524x19de98d8                ,0.5869249095449672,B
198e75cbdc02x3da7301                 ,1.5640841972399735,A
198ef3a60947x226312cc                ,0.5669955390068788,B
18e39cd7c400x6e2f376d                ,2.256939043021573,A
198947h9694ex280c972                 ,3.67755202806288,B
18eig7ca3a19xcaa1ab8                 ,0.5294534689378169,A
198bgfd500b4x77369313                ,1.4080140114145299,A
195i57h6a088x1343d4a2                ,32.477493521015916,B
18a3e1ca8001x7100d887                ,1.0142032238059584,A
192333af23d1x76684454                ,1.455701956361982,A
194aci286671x51dd12a4                ,0.6409482491799494,A
1988begb7e0ax41cb5f4                 ,7.081344899282225,A
197846300648x46ed42de                ,8.029035405111154,B
198f98d10f98dx2efdff84                ,0.8380585069035402,A
193gb7aacfe6x163cbe73                ,0.702963824022107,B
184c2gca20e4x4c2b086c                ,3.690255130492536,B
198ifh24a77ex424ae153                ,1.8047467860677187,B
19118fbe9b03x7421f50c                ,1.1832692218756955,A
1987bhf85c25x1d60159c                ,0.7091896528236511,B
1986ggf3caefx697a0f51                ,0.9316372644595541,A
193e7a13db06x5a07a3fc                ,4.616534770701367,A
19011ee55791x76e8f770                ,11.742045634161931,A
1981hd320607x75a6d087                ,0.6861389164853352,B
198chgi0b6fcx6bda635f                ,2.877826333401528,A
198238gf5611x1f54bbdf                ,0.5876727767322558,B
196hg356b575x3250b9d7                ,0.9362173835543631,A
198hb8d94d92x65576f16                ,0.6488211500189827,A
198fe7h50c22x5b95019c                ,1.1137369692296062,A
198i5270e97fx3d531c7b                ,6.482051958326438,A
195335a9730ex6bf3b3d1                ,0.6199999925161153,B
1976cbc18efdx31ad1a70                ,0.5049344283035213,B
1972d3dc2aa3x273d89b9                ,4.104090449174996,A
197h6g8771ecx13a466c6                ,1.8717410538343904,A
194cei9b2ac8x29d52f4                 ,6.720457525162546,A
198fd92c76b0x45af2762                ,10.38372453905272,B
197bgbbc72c5x3cce2088                ,1.1282314246446885,B
193eggdeac76x169e1fce                ,4.527782090624381,B
197f6ge9c76ex2004c07b                ,2.7317678474638436,B
197bcdh3c701x51ced5a0                ,5.4893785583843595,A
1981b9g86037x3002accb                ,0.6124029293075361,B
194a6hif03c7x149877cd                ,1.382723279997021,B
1926hd4fbfc2x6436c642                ,9.273395635673477,A
19883afcc644x3530d463                ,0.5450619997003145,A
1928fa508083x243983b7                ,0.968414616702369,A
1932i89ae941x2e510cd1                ,1.539351581570858,A
19888b362f12x7edf708c                ,3.7982843969093607,A
19537fbb5b39x3d54d04e                ,0.5213601247998084,B
1951a78d272cx63e10c3e                ,0.5604227326630419,B
197c56206b77x5a544344                ,8.303478144742122,B
1986ea9e47ccx6824025d                ,1.492559868446289,A
198d79a3f20bx5e961e61                ,0.716063654752471,A
1723fii671a0xda8476e                 ,0.6084266216601293,A
1965c9203bf9x1a8f3ffe                ,8.205737085990085,A
184af92a20e4x4c2b086c                ,2.688058899023014,B
194ah7782aa8x6e4d5b9                 ,0.502060373980826,B
19529g5a4094x37c2bcd1                ,1.1613150079986705,B
198hb3haec1fx127bc713                ,1.178454785972104,A
198a81c62a5bx880d882                 ,0.9248456815693785,B
18c6faaaa5d9xba0849d                 ,0.6576850592121107,A
19837db22790x21337018                ,1.9510066974846474,A
1982i5181779x7079ad73                ,1.260773318394879,B
198879he0a78x66b91e68                ,1.039626036772968,A
1971be1a8d59x3c4e9d93                ,1.3463473516956903,B
18fiihh02cd5xc338946                 ,2.1809979029978486,A
181dgbe45de4x53618606                ,1.462292732792497,A
190a32bffccdx162b4d62                ,1.0310877701065528,B
18aad9h8b0b9x655a881                 ,1.751288135656917,B
1941529be9fax2ba04fd4                ,2.7400714319383135,B
1957c5178b01x3dbf3fd9                ,11.712742761557413,B
195feee87b4bx55617bc                 ,0.9246196817811949,B
1981b6a3950dx7e04c3e1                ,2.1014938781055537,A
18cg88f1b1d8x179490cb                ,10.514516440668196,A
193c9941b86dx52c11b6f                ,0.5470335459878415,B
